iter,steps,eta_val,eta_train,reward,policy_loss,value_loss,entropy,approx_kl,clip_frac,ratio_max,ratio_bound,epsilon,sps,fluid_solve_count,fluid_cache_hit,zeta,phi_star_mean,a_f_mean,elapsed_s
36,114991,,0.19397,-0.63014,-0.004081,0.002006,1.159711,0.005384,0.067438,1.740812,94.444,0.18,31.97,1517,607,0.7142,0.6336,3.769,3608.0
37,118241,,0.25028,-0.51703,-0.004976,0.001235,1.151588,0.006742,0.071222,1.544699,84.906,0.17667,31.88,2355,903,0.7228,0.6644,3.752,3710.0
38,121892,,0.30812,-0.40526,-0.000273,0.000984,1.07933,0.004489,0.053488,1.930443,92.308,0.17333,32.86,2576,1083,0.704,0.7282,3.51,3821.1
39,125727,,0.32247,-0.37446,-0.003545,0.000563,1.127584,0.001732,0.043011,1.457,100.0,0.17,32.71,2670,1173,0.6948,0.6059,3.739,3938.4
40,128433,0.53,0.30832,-0.38995,0.000978,0.001337,1.065248,0.001923,0.023674,1.240546,90.0,0.16667,32.28,1979,735,0.7292,0.7745,3.464,4032.8
41,131446,,0.19127,-0.64117,0.001982,0.001552,1.108379,0.001919,0.032069,2.441589,104.082,0.16333,32.72,2249,772,0.7445,0.6644,3.645,4124.9
42,133761,,0.19937,-0.63189,0.010171,0.002068,1.161373,0.007467,0.068431,1.51217,106.25,0.16,32.66,1718,605,0.7396,0.6796,3.878,4195.8
43,137310,,0.27981,-0.46784,-0.00071,0.001271,1.105227,0.002202,0.020601,3.981074,102.128,0.15667,32.15,2567,990,0.7217,0.7289,3.54,4306.1
44,139779,,0.16545,-0.68637,-0.005882,0.001551,1.151292,0.004269,0.05681,1.396308,156.522,0.15333,32.25,1858,619,0.7501,0.6529,3.755,4382.8
45,142305,,0.14552,-0.73262,-0.002208,0.001155,1.151797,0.00163,0.031413,1.410456,93.333,0.15,32.86,1885,649,0.7439,0.6718,3.807,4459.6
46,146168,,0.28297,-0.46095,-0.006514,0.000869,1.05794,0.006304,0.070886,1.493028,88.636,0.14667,32.69,2887,984,0.7458,0.6975,3.42,4577.8
47,148711,,0.14243,-0.74884,-0.003668,0.000924,1.065908,0.00579,0.110315,1.447535,97.674,0.14333,32.42,1969,582,0.7719,0.6556,3.718,4656.3
48,150536,,0.29379,-0.43512,-0.003152,0.002908,1.132734,-0.001225,0.05313,1.576553,107.143,0.14,32.49,1340,493,0.731,0.6875,3.73,4712.5
49,152829,,0.30353,-0.41689,-0.004145,0.002977,1.10922,0.004857,0.060214,1.567463,109.756,0.13667,32.35,1655,646,0.7193,0.7399,3.585,4783.4
50,155063,0.5700000000000001,0.19616,-0.65438,-0.004959,0.003602,1.181881,0.004925,0.065254,1.785197,127.5,0.13333,32.46,1563,679,0.6971,0.6365,3.987,4868.7
51,157135,,0.26925,-0.50059,0.000933,0.001915,1.135869,0.006645,0.083691,2.109993,107.692,0.13,32.43,1491,589,0.7168,0.7287,3.701,4932.6
52,161308,,0.32226,-0.37316,-0.004118,0.001345,1.098706,0.004802,0.067835,1.560323,165.789,0.12667,32.53,2977,1204,0.712,0.7263,3.619,5060.9
53,163877,,0.27881,-0.47833,0.000706,0.001475,1.121136,0.002544,0.048639,1.769609,113.514,0.12333,32.33,1915,662,0.7431,0.7184,3.715,5140.3
54,166065,,0.26796,-0.47442,-0.014739,0.0017,1.13971,-0.00062,0.041281,1.813431,108.333,0.12,32.55,1529,667,0.6963,0.6913,3.718,5207.6
55,169781,,0.18681,-0.64914,-0.00816,0.001117,1.193697,0.002137,0.058333,1.65746,137.143,0.11667,32.29,2681,1043,0.7199,0.6371,4.01,5322.7
56,172623,,0.2789,-0.45935,-0.003312,0.001959,1.108877,0.003548,0.055889,1.401376,185.294,0.11333,32.0,2066,784,0.7249,0.6749,3.714,5411.5
57,174836,,0.25153,-0.51621,0.001231,0.002321,1.150727,0.002869,0.03473,1.410571,136.364,0.11,32.1,1588,633,0.715,0.6368,3.812,5480.5
58,178127,,0.31727,-0.37909,-0.002386,0.001473,1.077017,0.003575,0.051605,1.415768,168.75,0.10667,32.45,2298,1001,0.6966,0.7121,3.51,5581.9
59,180834,,0.28519,-0.44003,0.002011,0.001379,1.086688,0.005271,0.071608,1.599411,145.161,0.10333,32.26,1895,820,0.698,0.6363,3.655,5665.8
60,183100,0.68,0.22221,-0.57893,-0.003468,0.001732,1.045791,0.004634,0.076431,1.490092,130.0,0.1,31.64,1784,490,0.7845,0.682,3.645,5754.2
61,186886,,0.31998,-0.37105,-0.000152,0.001046,1.053537,0.002807,0.054293,1.513736,186.207,0.09667,32.0,2748,1046,0.7243,0.7357,3.492,5872.5
62,190300,,0.32147,-0.36437,-0.002582,0.001069,1.074593,0.005133,0.049804,1.579267,182.143,0.09333,32.61,2412,1010,0.7049,0.6762,3.635,5977.2
63,192549,,0.22181,-0.56292,-0.001807,0.001673,1.030683,0.007109,0.098635,2.196615,233.333,0.09,32.43,1696,561,0.7514,0.7005,3.698,6046.6
64,195735,,0.34313,-0.31274,-0.002957,0.00104,1.033317,0.004697,0.048967,2.473905,207.692,0.08667,32.66,2308,886,0.7226,0.726,3.462,6144.1
65,198019,,0.32021,-0.37816,-0.00184,0.002098,1.071158,0.004781,0.053407,1.373776,192.0,0.08333,31.81,1680,612,0.733,0.6894,3.647,6216.0
66,200847,,0.31359,-0.39471,0.008844,0.001508,1.023758,0.003032,0.076578,1.664677,162.5,0.08,32.41,1988,848,0.701,0.6776,3.471,6303.2
67,204758,,0.4134,-0.17825,-0.002898,0.001318,0.947341,0.007824,0.121073,1.757473,156.522,0.07667,32.34,2807,1112,0.7163,0.7765,3.238,6424.2
68,208890,,0.36595,-0.29613,-0.003312,0.00087,0.942609,0.003101,0.08898,1.649961,177.273,0.07333,31.75,3065,1075,0.7403,0.7046,3.426,6554.3
69,211778,,0.24982,-0.53038,-0.002895,0.00145,0.998063,0.005538,0.054763,1.662935,228.571,0.07,32.54,2160,736,0.7459,0.6318,3.56,6643.1
