iter,steps,eta_val,eta_train,reward,policy_loss,value_loss,entropy,approx_kl,clip_frac,ratio_max,ratio_bound,epsilon,sps,fluid_solve_count,fluid_cache_hit,zeta,phi_star_mean,a_f_mean,elapsed_s
39,102049,,0.1166,-0.76572,-0.00095,0.000551,1.377725,0.005982,0.085112,1.522437,147.059,0.17,34.18,0,0,0.0,,4.841,2879.4
40,104426,0.6024999999999998,0.17374,-0.65127,-0.002757,0.000836,1.390211,0.008201,0.077413,1.635529,102.0,0.16667,34.73,0,0,0.0,,4.806,2957.4
41,108275,,0.19886,-0.60032,-0.006666,0.000743,1.437921,0.004539,0.071629,1.424692,165.306,0.16333,34.5,0,0,0.0,,5.088,3069.0
42,111333,,0.21819,-0.56362,-0.005866,0.001082,1.360686,0.004608,0.074065,2.142115,200.0,0.16,34.29,0,0,0.0,,4.938,3158.2
43,113558,,0.15182,-0.69551,-0.002584,0.000672,1.361251,0.002778,0.065523,1.399697,172.34,0.15667,34.34,0,0,0.0,,4.776,3223.0
44,116093,,0.21723,-0.56554,-0.004502,0.000747,1.37396,0.005157,0.07665,1.622415,156.522,0.15333,34.77,0,0,0.0,,4.943,3295.9
45,119889,,0.17525,-0.6487,-0.003425,0.000469,1.316571,0.003998,0.065298,1.536184,166.667,0.15,34.5,0,0,0.0,,4.599,3405.9
46,122814,,0.17051,-0.65827,-0.00723,0.000716,1.403761,0.005121,0.093672,1.566791,225.0,0.14667,34.16,0,0,0.0,,5.239,3491.6
47,125711,,0.20213,-0.59574,-0.009299,0.000777,1.345086,0.009113,0.131675,1.472414,118.605,0.14333,34.11,0,0,0.0,,4.803,3576.5
48,127902,,0.18395,-0.62377,-0.009253,0.000656,1.345053,0.006775,0.088783,1.530593,192.857,0.14,34.8,0,0,0.0,,4.997,3639.5
49,129675,,0.18598,-0.62409,0.000292,0.001229,1.31195,0.004883,0.076533,1.509512,248.78,0.13667,34.78,0,0,0.0,,4.839,3690.5
50,133159,0.585,0.17595,-0.64504,-0.005318,0.000438,1.347483,0.006218,0.074843,2.226897,262.5,0.13333,34.75,0,0,0.0,,4.957,3798.3
51,136603,,0.2385,-0.52033,-0.005643,0.000437,1.310638,0.006648,0.079272,1.556298,146.154,0.13,34.65,0,0,0.0,,4.716,3897.7
52,139041,,0.21106,-0.57164,-0.010523,0.000964,1.336755,0.00746,0.124045,1.556302,197.368,0.12667,34.26,0,0,0.0,,5.085,3968.9
53,141413,,0.1538,-0.68466,-0.00504,0.001027,1.381641,0.009737,0.11697,1.494792,251.351,0.12333,34.92,0,0,0.0,,5.319,4036.9
54,143663,,0.22483,-0.5467,-0.001292,0.001338,1.373528,0.010028,0.096163,2.081192,258.333,0.12,34.33,0,0,0.0,,5.132,4102.4
55,146316,,0.19736,-0.60393,-0.001048,0.001529,1.293421,0.003552,0.072919,2.392372,188.571,0.11667,34.15,0,0,0.0,,4.852,4180.1
56,147701,,0.16119,-0.65223,-0.007907,0.001272,1.28141,0.004938,0.088573,1.607223,158.824,0.11333,33.61,0,0,0.0,,4.749,4221.3
57,150412,,0.19958,-0.58001,-0.012217,0.000786,1.260414,0.008668,0.112808,1.525098,281.818,0.11,33.69,0,0,0.0,,4.79,4301.8
58,152923,,0.2857,-0.4286,-0.001994,0.001521,1.30948,0.00864,0.056258,1.593719,309.375,0.10667,35.0,0,0,0.0,,4.849,4373.6
59,155919,,0.20864,-0.58117,-0.003385,0.000976,1.364415,0.006987,0.106571,1.844451,261.29,0.10333,34.32,0,0,0.0,,5.362,4460.9
60,158550,0.5650000000000001,0.19474,-0.6092,-0.00025,0.000913,1.292705,0.007827,0.092809,1.839971,210.0,0.1,34.78,0,0,0.0,,4.699,4543.7
61,161369,,0.24061,-0.51653,-0.009623,0.002089,1.325428,0.003323,0.050159,1.508569,248.276,0.09667,33.9,0,0,0.0,,4.79,4626.9
62,164232,,0.22434,-0.55132,-0.000399,0.001474,1.306898,0.003996,0.059029,1.725751,225.0,0.09333,34.1,0,0,0.0,,4.823,4710.9
63,166536,,0.21131,-0.57739,-0.003998,0.001667,1.339023,0.002722,0.074797,1.690804,211.111,0.09,34.78,0,0,0.0,,4.878,4777.1
64,169093,,0.25963,-0.48074,-0.002853,0.001474,1.319991,0.006689,0.075215,1.811336,253.846,0.08667,34.67,0,0,0.0,,4.886,4850.9
65,171678,,0.26315,-0.47296,-0.00053,0.001425,1.295606,0.009704,0.046533,5.071162,312.0,0.08333,34.78,0,0,0.0,,4.671,4925.2
66,174956,,0.25867,-0.48267,-0.000441,0.001243,1.301641,0.012344,0.061116,3.251177,225.0,0.08,33.88,0,0,0.0,,4.879,5022.0
67,178462,,0.24827,-0.50347,-0.000967,0.001078,1.337846,0.012888,0.091845,5.575208,300.0,0.07667,34.71,0,0,0.0,,5.143,5123.0
68,181847,,0.31214,-0.375,-0.000761,0.00116,1.284918,0.004802,0.064355,1.930387,286.364,0.07333,34.42,0,0,0.0,,4.877,5221.4
69,183706,,0.21774,-0.55907,-0.001677,0.002017,1.331237,0.004415,0.060041,7.448171,357.143,0.07,34.49,0,0,0.0,,5.193,5275.3
