iteration,instance_id,instance_name,instance_selection,transitions,reward,mean_return,fulfillment_rate_mean,fulfillment_rate_std,fulfillment_rate_min,fulfillment_rate_max,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,discard_count,completion_count,steps_per_second,elapsed_seconds,rollout_seconds,update_seconds,fluid_solve_count,fluid_solve_seconds,policy_forward_count,policy_forward_seconds,avg_action_tokens,max_action_tokens,padding_ratio,actor_batch_size_mean,episode_count,episode_transition_mean,episode_transition_std,episode_seconds_mean,episode_seconds_std,policy_act_seconds,simulator_step_seconds,obs_build_seconds,rollout_device,update_device,cpu_memory_mb,gpu_memory_mb,gpu_temperature,fluid_cache_hit_count,fluid_fallback_count,sparse_attention_enabled,sparse_attention_scope
0,1,DDT500_num50.txt,fixed,512,-106.0,-3.8402504758426677,0.18000000715255737,0.03162277862429619,0.14000000059604645,0.2199999988079071,6.98498026902477,0.30839130903283757,13.371776342391968,0.9299238622188568,-1.9507947687791294e-10,0.0,0.0003,142,36,4.2429234526701505,120.67151474952698,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,DDT500_num50.txt,fixed,506,-120.0,-7.201103168297572,0.1550000011920929,0.016583126038312912,0.14000000059604645,0.18000000715255737,9.258885338192893,0.2448135174456097,18.04612476485116,0.8990502868379865,1.3113957280705545e-06,0.0,0.0003,151,31,2.165660608260822,233.64695191383362,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,DDT500_num50.txt,fixed,505,-112.0,-8.84428460937669,0.18000000715255737,0.03999999910593033,0.14000000059604645,0.2199999988079071,10.095013209751674,0.21961254819429346,19.76910098393758,0.9149827446256366,8.162958800081047e-06,0.0,0.0003,148,36,2.220809808040725,227.3945288658142,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,DDT500_num50.txt,fixed,512,-127.0,-4.64787694341767,0.14500001072883606,0.03570714220404625,0.10000000149011612,0.20000000298023224,10.099685614307722,0.10727358009252283,20.003077745437622,0.9126840002006955,6.229026615499499e-10,0.0,0.0003,156,29,8.437641076910518,60.68046689033508,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,DDT500_num50.txt,fixed,512,-118.0,-6.306086962179991,0.17000000178813934,0.022360682487487793,0.14000000059604645,0.20000000298023224,5.183391626392092,-0.024961920898585094,10.433247895467849,0.8270423383939833,2.0001266991848912e-09,0.0,0.0003,152,34,1.94835434805171,262.7858738899231,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,DDT500_num50.txt,fixed,512,-100.0,-3.535017379868674,0.18571428954601288,0.0284999068826437,0.1428571492433548,0.2199999988079071,6.4639241377512615,0.002194417764743169,12.938626194000244,0.7583397587140401,0.00023189091067858195,0.0,0.0003,137,37,7.958521036187836,64.3335611820221,63.02533745765686,1.3082044124603271,448,1.5942074980121106,389,27.525913600809872,2.869140633381903,13.0,0.9982884374999997,1.3161953727506426,,,,,,,,,,,,,,,,,
1,1,DDT500_num50.txt,fixed,511,-111.0,-5.568699824576542,0.1733333319425583,0.02828427031636238,0.13333334028720856,0.20000000298023224,5.16000015437603,-0.14522969524065654,10.625600401560465,0.7570336103439331,0.00011815537888348142,0.0,0.0003,145,34,9.59651224483977,53.248512268066406,52.18583679199219,1.0626494884490967,140,0.4521539999404922,373,24.554640399524942,3.0469667384302546,17.0,0.9984666927592966,1.3699731903485255,,,,,,,,,,,,,,,,,
2,1,DDT500_num50.txt,fixed,512,-78.0,-6.236378756622244,0.21000000834465027,0.033166248351335526,0.1599999964237213,0.23999999463558197,3.7637158075968427,-0.015425540258487065,7.573210461934408,0.7463860472043355,0.00015611624821758595,0.0,0.0003,120,42,11.171427645454527,45.83120584487915,44.557130336761475,1.2740635871887207,176,0.385404400061816,365,20.415613500983454,2.9023437588475645,11.0,0.9985010416666671,1.4027397260273973,,,,,,,,,,,,,,,,,
3,1,DDT500_num50.txt,fixed,512,-121.0,-9.122126484598692,0.17499998211860657,0.01658312790095806,0.1599999964237213,0.20000000298023224,7.625426228841146,-0.12042180001735688,15.508048280080159,0.8176052053769429,0.0005688788058857123,0.0005649717524647713,0.0003,156,35,10.675978464356659,47.95813345909119,46.463481187820435,1.4946238994598389,168,0.37155269912909716,369,20.321879799710587,3.199218763038516,14.0,0.9982464062500003,1.3875338753387534,,,,,,,,,,,,,,,,,
4,1,DDT500_num50.txt,fixed,499,-113.0,-9.592135497441197,0.18112245202064514,0.04351523518562317,0.11999999731779099,0.22448979318141937,7.211114660898844,-0.06146686337888241,14.561599699656169,0.8218317230542501,0.0012784999642462935,0.01179633221278588,0.0003,149,36,10.391676024784326,48.01920294761658,46.993613958358765,1.0255746841430664,114,0.2408221991499886,354,21.990829398971982,3.0721442990885945,13.0,0.9983196793587199,1.4096045197740112,,,,,,,,,,,,,,,,,
