shift_axis,train_cond,test_cond,eta,retention
arrival_intensity,50.0,12.5,0.32,0.3721
arrival_intensity,50.0,12.5822,0.26,0.3023
arrival_intensity,50.0,24.9862,0.49,0.5698
arrival_intensity,50.0,25.0,0.65,0.7558
arrival_intensity,50.0,25.2176,0.46,0.5349
arrival_intensity,50.0,48.9315,0.8,0.9302
arrival_intensity,50.0,50.0,0.86,1.0
arrival_intensity,50.0,50.257,0.87,1.0116
arrival_intensity,50.0,99.7148,0.91,1.0581
arrival_intensity,50.0,100.0,0.78,0.907
arrival_intensity,50.0,100.9339,0.87,1.0116
arrival_intensity,50.0,200.0,0.85,0.9884
arrival_intensity,50.0,201.1474,0.93,1.0814
arrival_intensity,50.0,202.0098,0.84,0.9767
arrival_intensity,50.257,12.3365,0.38,0.4368
arrival_intensity,50.257,12.5,0.32,0.3678
arrival_intensity,50.257,12.5822,0.26,0.2989
arrival_intensity,50.257,24.9862,0.49,0.5632
arrival_intensity,50.257,25.0,0.65,0.7471
arrival_intensity,50.257,25.2176,0.46,0.5287
arrival_intensity,50.257,48.9315,0.8,0.9195
arrival_intensity,50.257,50.0,0.86,0.9885
arrival_intensity,50.257,50.257,0.87,1.0
arrival_intensity,50.257,99.7148,0.91,1.046
arrival_intensity,50.257,100.0,0.78,0.8966
arrival_intensity,50.257,100.9339,0.87,1.0
arrival_intensity,50.257,200.0,0.85,0.977
arrival_intensity,50.257,201.1474,0.93,1.069
arrival_intensity,50.257,202.0098,0.84,0.9655
arrival_intensity,99.7148,12.3365,0.38,0.4176
arrival_intensity,99.7148,12.5,0.32,0.3516
arrival_intensity,99.7148,12.5822,0.26,0.2857
arrival_intensity,99.7148,24.9862,0.49,0.5385
arrival_intensity,99.7148,25.0,0.65,0.7143
arrival_intensity,99.7148,25.2176,0.46,0.5055
arrival_intensity,99.7148,48.9315,0.8,0.8791
arrival_intensity,99.7148,50.0,0.86,0.9451
arrival_intensity,99.7148,50.257,0.87,0.956
arrival_intensity,99.7148,99.7148,0.91,1.0
arrival_intensity,99.7148,100.0,0.78,0.8571
arrival_intensity,99.7148,100.9339,0.87,0.956
arrival_intensity,99.7148,200.0,0.85,0.9341
arrival_intensity,99.7148,201.1474,0.93,1.022
arrival_intensity,99.7148,202.0098,0.84,0.9231
arrival_intensity,100.0,12.3365,0.38,0.4872
arrival_intensity,100.0,12.5,0.32,0.4103
arrival_intensity,100.0,12.5822,0.26,0.3333
arrival_intensity,100.0,24.9862,0.49,0.6282
arrival_intensity,100.0,25.0,0.65,0.8333
arrival_intensity,100.0,25.2176,0.46,0.5897
arrival_intensity,100.0,48.9315,0.8,1.0256
arrival_intensity,100.0,50.0,0.86,1.1026
arrival_intensity,100.0,50.257,0.87,1.1154
arrival_intensity,100.0,99.7148,0.91,1.1667
arrival_intensity,100.0,100.0,0.78,1.0
arrival_intensity,100.0,100.9339,0.87,1.1154
arrival_intensity,100.0,200.0,0.85,1.0897
arrival_intensity,100.0,201.1474,0.93,1.1923
arrival_intensity,100.0,202.0098,0.84,1.0769
arrival_intensity,100.9339,12.3365,0.38,0.4368
arrival_intensity,100.9339,12.5,0.32,0.3678
arrival_intensity,100.9339,12.5822,0.26,0.2989
arrival_intensity,100.9339,24.9862,0.49,0.5632
arrival_intensity,100.9339,25.0,0.65,0.7471
arrival_intensity,100.9339,25.2176,0.46,0.5287
arrival_intensity,100.9339,48.9315,0.8,0.9195
arrival_intensity,100.9339,50.0,0.86,0.9885
arrival_intensity,100.9339,50.257,0.87,1.0
arrival_intensity,100.9339,99.7148,0.91,1.046
arrival_intensity,100.9339,100.0,0.78,0.8966
arrival_intensity,100.9339,100.9339,0.87,1.0
arrival_intensity,100.9339,200.0,0.85,0.977
arrival_intensity,100.9339,201.1474,0.93,1.069
arrival_intensity,100.9339,202.0098,0.84,0.9655
arrival_intensity,200.0,12.3365,0.38,0.4471
arrival_intensity,200.0,12.5,0.32,0.3765
arrival_intensity,200.0,12.5822,0.26,0.3059
arrival_intensity,200.0,24.9862,0.49,0.5765
arrival_intensity,200.0,25.0,0.65,0.7647
arrival_intensity,200.0,25.2176,0.46,0.5412
arrival_intensity,200.0,48.9315,0.8,0.9412
arrival_intensity,200.0,50.0,0.86,1.0118
arrival_intensity,200.0,50.257,0.87,1.0235
arrival_intensity,200.0,99.7148,0.91,1.0706
arrival_intensity,200.0,100.0,0.78,0.9176
arrival_intensity,200.0,100.9339,0.87,1.0235
arrival_intensity,200.0,200.0,0.85,1.0
arrival_intensity,200.0,201.1474,0.93,1.0941
arrival_intensity,200.0,202.0098,0.84,0.9882
arrival_intensity,201.1474,12.3365,0.38,0.4086
arrival_intensity,201.1474,12.5,0.32,0.3441
arrival_intensity,201.1474,12.5822,0.26,0.2796
arrival_intensity,201.1474,24.9862,0.49,0.5269
arrival_intensity,201.1474,25.0,0.65,0.6989
arrival_intensity,201.1474,25.2176,0.46,0.4946
arrival_intensity,201.1474,48.9315,0.8,0.8602
arrival_intensity,201.1474,50.0,0.86,0.9247
arrival_intensity,201.1474,50.257,0.87,0.9355
arrival_intensity,201.1474,99.7148,0.91,0.9785
arrival_intensity,201.1474,100.0,0.78,0.8387
arrival_intensity,201.1474,100.9339,0.87,0.9355
arrival_intensity,201.1474,200.0,0.85,0.914
arrival_intensity,201.1474,201.1474,0.93,1.0
arrival_intensity,201.1474,202.0098,0.84,0.9032
arrival_intensity,202.0098,12.3365,0.38,0.4524
arrival_intensity,202.0098,12.5,0.32,0.381
arrival_intensity,202.0098,12.5822,0.26,0.3095
arrival_intensity,202.0098,24.9862,0.49,0.5833
arrival_intensity,202.0098,25.0,0.65,0.7738
arrival_intensity,202.0098,25.2176,0.46,0.5476
arrival_intensity,202.0098,48.9315,0.8,0.9524
arrival_intensity,202.0098,50.0,0.86,1.0238
arrival_intensity,202.0098,50.257,0.87,1.0357
arrival_intensity,202.0098,99.7148,0.91,1.0833
arrival_intensity,202.0098,100.0,0.78,0.9286
arrival_intensity,202.0098,100.9339,0.87,1.0357
arrival_intensity,202.0098,200.0,0.85,1.0119
arrival_intensity,202.0098,201.1474,0.93,1.1071
arrival_intensity,202.0098,202.0098,0.84,1.0
