iter,steps,eta_val,eta_train,reward,policy_loss,value_loss,entropy,approx_kl,clip_frac,ratio_max,ratio_bound,epsilon,sps,fluid_solve_count,fluid_cache_hit,zeta,phi_star_mean,a_f_mean,elapsed_s
0,3058,0.5325,0.13825,-0.76332,0.001312,0.006939,1.279446,0.007672,0.071978,1.468506,53.333,0.3,32.53,2131,935,0.695,0.617,4.118,105.0
1,5448,,0.16907,-0.66292,0.001562,0.002901,1.182677,0.003046,0.018366,1.331344,47.191,0.29667,32.96,1704,694,0.7106,0.7157,3.648,177.6
2,8695,,0.1188,-0.80222,-0.001328,0.001269,1.266228,0.006621,0.032469,1.429553,64.773,0.29333,32.82,2466,789,0.7576,0.6401,4.039,276.5
3,11944,,0.18611,-0.63131,-0.00093,0.000714,1.194727,0.008756,0.016332,1.218685,72.414,0.29,32.94,2218,1039,0.681,0.6566,3.74,375.2
4,15282,,0.2757,-0.4588,-0.006483,0.001192,1.159907,0.002958,0.021219,1.431613,55.814,0.28667,32.76,2388,958,0.7137,0.7354,3.593,477.1
5,17760,,0.18245,-0.64593,-0.004258,0.001396,1.228733,0.003861,0.0485,1.773871,56.471,0.28333,32.6,1837,649,0.7389,0.7218,3.877,553.1
6,21859,,0.21771,-0.59589,0.014953,0.001563,1.191434,0.004092,0.027936,1.511132,64.286,0.28,32.43,2778,1329,0.6764,0.6342,3.762,679.5
7,25458,,0.25056,-0.51023,-0.005957,0.001193,1.12965,0.004998,0.040775,1.272908,68.675,0.27667,32.6,2531,1076,0.7017,0.7089,3.504,789.9
8,28294,,0.20149,-0.61911,-0.00271,0.001292,1.159954,0.004105,0.040195,1.309779,76.829,0.27333,32.49,2073,771,0.7289,0.678,3.638,877.3
9,31030,,0.16642,-0.65157,-0.000673,0.000772,1.237562,0.00345,0.052004,1.453705,66.667,0.27,32.37,1944,800,0.7085,0.6497,3.969,961.8
10,34172,0.0725,0.20137,-0.62222,0.002888,0.000921,1.17581,0.001638,0.008229,1.301966,63.75,0.26667,32.15,2179,971,0.6917,0.7029,3.643,1067.2
11,36489,,0.19254,-0.63164,0.005148,0.001637,1.222689,0.003498,0.028446,1.336987,64.557,0.26333,32.52,1668,657,0.7174,0.729,3.834,1138.5
12,39721,,0.20706,-0.62045,-0.003136,0.001747,1.17558,0.001838,0.030248,1.462032,76.923,0.26,32.3,2252,988,0.6951,0.636,3.697,1238.6
13,42448,,0.15129,-0.70845,-0.002428,0.000933,1.204246,0.004813,0.068734,1.384528,62.338,0.25667,32.33,1992,743,0.7283,0.599,3.871,1322.9
14,45219,,0.13011,-0.7531,0.000789,0.000782,1.200425,0.001243,0.012104,1.279244,90.789,0.25333,31.8,2059,720,0.7409,0.6708,3.874,1410.1
15,48557,,0.17911,-0.66858,-0.009115,0.000794,1.121698,0.003075,0.039931,1.46693,64.0,0.25,31.31,2438,908,0.7286,0.6839,3.513,1516.7
