iter,steps,eta_val,eta_train,reward,policy_loss,value_loss,entropy,approx_kl,clip_frac,ratio_max,ratio_bound,epsilon,sps,fluid_solve_count,fluid_cache_hit,zeta,phi_star_mean,a_f_mean,elapsed_s
0,4019,0.52,0.55117,0.08278,0.047769,0.048616,0.142204,0.222704,0.52058,6.009347,56.667,0.3,67.4,3008,1019,0.747,0.7007,3.195,68.4
1,6049,,0.39003,-0.23508,0.062232,0.019066,0.318908,0.044916,0.498375,6.186714,57.303,0.29667,69.39,1600,438,0.7851,0.6973,3.671,97.7
2,8525,0.5725,0.34274,-0.33475,0.03416,0.009997,0.596987,-0.857315,0.274799,3.287283,47.727,0.29333,30.45,1848,636,0.744,0.6808,3.32,189.8
