iter,steps,eta_val,eta_train,reward,policy_loss,value_loss,entropy,approx_kl,clip_frac,ratio_max,ratio_bound,epsilon,sps,fluid_solve_count,fluid_cache_hit,zeta,phi_star_mean,a_f_mean,elapsed_s
36,107914,,0.28408,-0.48203,-0.001456,0.001058,1.067893,0.00332,0.024922,1.589984,72.222,0.18,32.94,2384,912,0.7233,0.2415,3.421,3335.5
37,112318,,0.36829,-0.30925,-0.000222,0.000801,1.091207,0.001099,0.042199,1.374941,130.189,0.17667,33.04,3065,1347,0.6947,0.3269,3.502,3468.8
38,115723,,0.24384,-0.55518,-0.002705,0.000997,1.09163,0.002062,0.024656,1.441768,86.538,0.17333,32.73,2520,893,0.7384,0.2889,3.498,3572.8
39,118239,,0.25597,-0.54214,-0.000355,0.001777,1.113485,0.005496,0.080053,1.431541,82.353,0.17,32.92,1930,594,0.7647,0.2839,3.607,3649.3
40,121911,0.49250000000000005,0.26805,-0.52245,-0.004783,0.000812,1.084362,0.004019,0.054279,1.412735,120.0,0.16667,32.65,2663,1017,0.7236,0.277,3.606,3770.8
41,125627,,0.27207,-0.51565,-0.002913,0.000811,1.107875,0.001215,0.038802,1.419626,134.694,0.16333,32.78,2644,1080,0.71,0.2852,3.701,3884.1
42,129514,,0.31402,-0.40873,-0.00776,0.000972,1.092773,0.005567,0.058441,1.916019,118.75,0.16,32.57,2730,1165,0.7009,0.2914,3.617,4003.5
43,131799,,0.18189,-0.70093,-0.003125,0.001161,1.10832,0.004446,0.051876,1.525088,95.745,0.15667,32.95,1688,605,0.7362,0.2496,3.654,4072.8
44,135307,,0.30093,-0.43301,-0.002503,0.001205,1.038617,0.005711,0.08862,1.804251,78.261,0.15333,32.41,2551,965,0.7255,0.3114,3.412,4181.1
45,137973,,0.19229,-0.67371,-0.003102,0.001506,1.110762,0.002397,0.038833,1.430418,93.333,0.15,33.16,2007,667,0.7506,0.2899,3.636,4261.5
46,140807,,0.34291,-0.3733,-0.006841,0.001657,1.069586,0.003356,0.053354,1.62938,109.091,0.14667,32.93,2056,786,0.7234,0.4446,3.532,4347.6
47,142927,,0.228,-0.58451,-0.005357,0.002675,1.10615,0.002801,0.051232,1.397917,111.628,0.14333,33.04,1595,533,0.7495,0.304,3.664,4411.7
48,146046,,0.29444,-0.4236,-0.000403,0.001595,1.097391,0.001254,0.01801,1.478178,100.0,0.14,32.49,2291,836,0.7327,0.3484,3.6,4507.8
49,149362,,0.25649,-0.55465,-0.002016,0.001356,1.125848,0.001362,0.021959,1.807504,124.39,0.13667,32.78,2400,924,0.722,0.2558,3.758,4608.9
50,153061,0.545,0.28291,-0.4933,-0.006513,0.001259,1.105944,0.005509,0.067467,2.114002,172.5,0.13333,32.51,2676,1031,0.7219,0.2692,3.7,4733.1
51,156008,,0.20594,-0.62977,-0.000412,0.00136,1.107684,0.004752,0.057726,2.11788,107.692,0.13,31.87,2215,740,0.7496,0.2646,3.696,4825.5
52,158846,,0.27552,-0.48501,0.004913,0.00113,1.090541,0.004233,0.050323,1.367864,126.316,0.12667,32.52,2058,788,0.7231,0.3892,3.657,4912.8
53,162564,,0.27086,-0.49426,-0.002147,0.00139,1.160035,0.00558,0.057436,1.404833,129.73,0.12333,32.25,2713,1013,0.7281,0.2614,3.829,5028.1
54,165629,,0.42831,-0.15561,-0.002511,0.002216,1.05834,0.002539,0.031517,1.422214,133.333,0.12,32.12,2227,846,0.7247,0.4389,3.515,5123.6
55,167656,,0.32716,-0.4125,-0.002941,0.003066,1.134017,0.002481,0.035441,1.41758,137.143,0.11667,32.4,1530,505,0.7518,0.5149,3.701,5186.1
56,172416,,0.30168,-0.44354,0.000414,0.000832,1.082729,0.005314,0.061952,1.577903,167.647,0.11333,32.3,3355,1413,0.7036,0.28,3.56,5333.5
57,176057,,0.27816,-0.49023,-0.004727,0.00112,1.075571,0.004878,0.071118,1.474442,172.727,0.11,31.17,2654,995,0.7273,0.365,3.531,5450.4
58,180322,,0.31485,-0.41605,-0.003219,0.000821,1.087738,0.000732,0.016621,1.521706,140.625,0.10667,31.71,2964,1309,0.6937,0.2326,3.502,5584.9
59,183993,,0.31482,-0.41682,-5.3e-05,0.001203,1.078075,0.002104,0.042544,1.878815,154.839,0.10333,32.59,2544,1135,0.6915,0.2698,3.442,5697.6
60,187639,0.575,0.28382,-0.48738,-0.003821,0.001075,1.097857,0.003479,0.041583,3.011487,170.0,0.1,31.95,2558,1096,0.7001,0.3159,3.62,5824.7
61,191192,,0.25355,-0.56566,-0.004715,0.000964,1.106508,0.006646,0.055829,1.806684,196.552,0.09667,31.85,2457,1104,0.69,0.2364,3.599,5936.3
62,193839,,0.23136,-0.56792,-0.002798,0.001312,1.075707,0.008896,0.085742,1.696475,160.714,0.09333,32.67,1896,759,0.7141,0.2523,3.656,6017.3
63,197160,,0.24408,-0.60828,-0.003767,0.001231,1.0284,0.014651,0.07153,3.009757,155.556,0.09,32.75,2429,900,0.7296,0.2618,3.441,6118.7
64,200680,,0.34813,-0.36488,0.001349,0.000978,1.070485,0.002978,0.037853,2.970813,207.692,0.08667,31.55,2565,963,0.727,0.3436,3.663,6230.3
65,203605,,0.31185,-0.41947,-0.004674,0.00151,1.060659,0.007777,0.057273,1.622459,312.0,0.08333,32.06,2103,830,0.717,0.3928,3.483,6321.6
66,207509,,0.30831,-0.40789,-0.000699,0.001205,1.07262,0.004911,0.054856,2.255458,262.5,0.08,32.81,2832,1080,0.7239,0.2376,3.616,6440.6
67,210377,,0.31134,-0.41171,-0.005085,0.001602,1.070423,0.004196,0.043391,1.646708,182.609,0.07667,32.58,2202,674,0.7656,0.3604,3.612,6528.6
68,213193,,0.35886,-0.29318,-0.003182,0.001704,1.081886,0.007213,0.041785,1.562587,231.818,0.07333,32.31,2019,805,0.7149,0.4934,3.701,6615.8
69,215906,,0.23219,-0.56976,0.001948,0.001389,0.99422,0.004366,0.051993,2.652683,185.714,0.07,32.36,2122,599,0.7799,0.281,3.591,6699.7
70,219290,0.585,0.27408,-0.49592,-0.001919,0.001166,1.078382,0.006097,0.046903,1.588463,420.0,0.06667,32.73,2535,857,0.7473,0.2745,3.65,6813.9
71,222659,,0.37005,-0.26786,0.002438,0.001306,0.998668,0.006359,0.048717,2.135637,205.263,0.06333,32.92,2453,924,0.7264,0.3964,3.368,6916.3
72,226679,,0.38192,-0.26571,0.000967,0.001147,1.010028,0.008529,0.083171,2.679566,300.0,0.06,32.69,2813,1215,0.6984,0.3101,3.48,7039.3
