iter,steps,eta_val,eta_train,reward,policy_loss,value_loss,entropy,approx_kl,clip_frac,ratio_max,ratio_bound,epsilon,sps,fluid_solve_count,fluid_cache_hit,zeta,phi_star_mean,a_f_mean,elapsed_s
36,111011,,0.11256,-0.79541,-0.002038,0.001143,1.209051,0.002526,0.076507,1.268978,88.889,0.18,64.64,1464,335,0.8138,0.75,4.071,1677.9
37,114135,,0.23537,-0.55977,-3.5e-05,0.000741,1.115925,-0.000208,0.024215,1.431707,96.226,0.17667,67.59,2229,903,0.7117,0.6892,3.551,1724.2
38,117153,,0.2878,-0.44658,-0.002481,0.000981,1.114183,0.001702,0.035977,1.297013,80.769,0.17333,67.9,2170,856,0.7171,0.7247,3.501,1768.6
39,120418,,0.185,-0.6611,-0.002392,0.000741,1.141327,0.004283,0.051564,1.287017,123.529,0.17,66.55,2428,845,0.7418,0.6726,3.744,1817.7
40,123286,0.515,0.28025,-0.46743,-0.002989,0.001295,1.094042,0.000591,0.026826,1.388212,96.0,0.16667,68.02,2035,841,0.7076,0.6687,3.537,1866.5
41,127524,,0.27828,-0.48261,0.001737,0.00065,1.090218,0.003031,0.058933,1.502741,128.571,0.16333,66.52,2999,1247,0.7063,0.6263,3.552,1930.2
42,132070,,0.33398,-0.35616,-0.002962,0.000816,1.060345,0.003867,0.047248,1.329656,100.0,0.16,67.02,3320,1234,0.729,0.7084,3.381,1998.0
43,135551,,0.29759,-0.43055,0.001344,0.001632,1.124525,0.001903,0.053743,1.838134,121.277,0.15667,65.77,2490,999,0.7137,0.654,3.695,2051.0
44,138702,,0.31291,-0.41139,-0.003727,0.00113,1.090378,0.003082,0.055897,1.34117,117.391,0.15333,67.78,2282,877,0.7224,0.6299,3.663,2097.5
45,141931,,0.30564,-0.41541,-0.002911,0.001248,1.068311,0.003454,0.046481,1.374969,86.667,0.15,66.92,2397,840,0.7405,0.6496,3.556,2145.7
46,144754,,0.20975,-0.58844,-0.000749,0.002108,1.162015,0.000997,0.036005,1.349617,150.0,0.14667,66.79,2112,719,0.746,0.6745,3.85,2188.0
47,147763,,0.32481,-0.36169,0.002106,0.001996,1.129749,0.003136,0.051122,1.338244,118.605,0.14333,61.68,2160,857,0.7159,0.6508,3.754,2236.8
48,149670,,0.12532,-0.7759,-0.004076,0.002192,1.109051,-0.000287,0.071245,1.465626,92.857,0.14,67.28,1467,448,0.7661,0.6953,3.649,2265.2
49,151649,,0.16281,-0.68499,-0.003714,0.001802,1.092396,0.002953,0.070834,1.33472,87.805,0.13667,68.88,1560,427,0.7851,0.7483,3.602,2293.9
50,153627,0.55,0.15054,-0.72405,-0.004598,0.002343,1.113897,0.003169,0.030779,1.291654,90.0,0.13333,68.23,1555,431,0.783,0.6917,3.632,2329.5
51,155270,,0.1754,-0.68663,-0.004575,0.00221,1.104074,0.005946,0.061472,1.414617,146.154,0.13,69.24,1271,380,0.7698,0.734,3.677,2353.3
52,157056,,0.2683,-0.46494,-0.000416,0.002168,1.130075,0.001963,0.043832,1.247163,134.211,0.12667,66.2,1346,448,0.7503,0.7051,3.926,2380.3
53,159246,,0.13792,-0.77359,0.002859,0.001766,1.143075,0.005337,0.05632,1.624345,105.405,0.12333,66.79,1767,431,0.8039,0.6735,3.904,2413.1
54,162972,,0.32403,-0.36872,0.000723,0.001144,1.074178,0.00308,0.04401,2.179782,100.0,0.12,67.75,2710,1024,0.7258,0.6934,3.496,2468.1
55,165199,,0.21462,-0.59631,0.002753,0.001375,1.087487,0.00443,0.037043,1.435886,120.0,0.11667,67.29,1699,536,0.7602,0.7212,3.589,2501.2
56,168529,,0.37798,-0.26235,0.005385,0.001516,0.990302,0.003867,0.079186,1.305772,114.706,0.11333,66.91,2514,824,0.7531,0.723,3.383,2551.0
57,171525,,0.28785,-0.44912,-0.007746,0.001068,1.042362,0.005217,0.079769,1.466209,127.273,0.11,66.89,2227,777,0.7413,0.6926,3.596,2595.8
58,174569,,0.15881,-0.70023,-0.002551,0.00078,1.036165,0.002094,0.049701,1.570924,121.875,0.10667,67.64,2374,678,0.7779,0.6652,3.62,2640.8
59,176029,,0.09624,-0.82967,-0.009972,0.002982,1.148381,0.003603,0.093116,1.333575,125.806,0.10333,67.86,1191,277,0.8113,0.6612,3.995,2662.3
60,178687,0.5599999999999999,0.25766,-0.4973,-0.005809,0.00117,1.066321,0.009512,0.093649,1.255737,130.0,0.1,67.84,1926,740,0.7224,0.6502,3.62,2708.5
61,181193,,0.35686,-0.30707,-0.000205,0.001435,1.052075,0.003211,0.025095,1.352096,144.828,0.09667,65.97,1851,663,0.7363,0.6677,3.482,2746.5
