iter,steps,eta_train,eta_val,loss,epsilon,sps,elapsed_s
106,27207,0.5,,1.041764,0.05,295.2,127.4
107,27414,0.02548,,-0.00023,0.05,298.64,128.1
108,28147,0.41799,,0.296152,0.05,315.75,130.4
109,28249,0.09836,,-0.047749,0.05,273.34,130.8
110,29025,0.48,0.24,0.515691,0.05,135.23,136.5
111,29377,0.29365,,-0.111443,0.05,293.6,137.7
112,29412,0.0,,-0.265992,0.05,237.38,137.9
113,29539,0.46667,,0.187425,0.05,282.6,138.3
114,29903,0.31481,,-0.266804,0.05,305.27,139.5
115,30116,0.17,,-0.279159,0.05,291.25,140.3
116,30251,0.20755,,-0.308229,0.05,279.4,140.7
117,30429,0.21212,,-0.084885,0.05,284.58,141.4
118,30661,0.05031,,0.013444,0.05,298.84,142.1
119,31068,0.2037,,0.403048,0.05,299.64,143.5
120,31494,0.1962,0.22000000000000003,0.056878,0.05,92.76,148.1
121,31622,0.06024,,0.393583,0.05,282.17,148.6
122,31696,0.03191,,0.57742,0.05,250.88,148.9
123,31982,0.14,,0.060522,0.05,290.06,149.8
124,32133,0.05155,,-0.117203,0.05,284.83,150.4
125,32287,0.3,,-0.210684,0.05,285.15,150.9
126,32330,0.05882,,0.216572,0.05,237.69,151.1
127,32446,0.04098,,-0.091572,0.05,289.61,151.5
128,33014,0.32716,,0.105506,0.05,311.43,153.3
129,33341,0.69863,,1.228553,0.05,314.37,154.4
130,33803,0.78125,0.2125,1.100834,0.05,101.46,158.9
131,33896,0.0198,,-0.435533,0.05,268.04,159.3
132,33944,0.02632,,-0.454542,0.05,228.78,159.5
133,34092,0.21127,,-0.101339,0.05,287.1,160.0
134,34240,0.16667,,-0.492734,0.05,270.24,160.6
135,34833,0.27807,,-0.29537,0.05,311.06,162.5
136,34907,0.12903,,-0.349085,0.05,246.43,162.8
137,35382,0.18848,,-0.025576,0.05,293.4,164.4
138,35761,0.22517,,0.31137,0.05,304.41,165.6
139,36065,0.13158,,0.023975,0.05,305.54,166.6
140,36440,0.12308,0.23249999999999998,0.253253,0.05,84.32,171.1
141,36550,0.0354,,0.560103,0.05,279.49,171.5
142,36597,0.0099,,0.561715,0.05,254.01,171.7
143,36857,0.18182,,0.172188,0.05,298.09,172.6
144,37499,0.39264,,0.351744,0.05,318.79,174.6
145,37721,0.50943,,0.567783,0.05,299.87,175.3
146,37930,0.35593,,0.13896,0.05,298.14,176.0
147,38145,0.35938,,-0.286195,0.05,301.47,176.7
148,38361,0.25581,,-0.345976,0.05,289.34,177.5
149,38679,0.27027,,-0.40481,0.05,296.05,178.6
150,39109,0.3871,0.2375,-0.206047,0.05,92.68,183.2
151,39368,0.26136,,-0.572809,0.05,301.42,184.1
152,39639,0.28916,,-0.286593,0.05,302.87,185.0
153,39797,0.12676,,-0.455954,0.05,297.54,185.5
154,39893,0.2,,-0.501584,0.05,249.74,185.9
155,39965,0.01754,,-0.377626,0.05,243.08,186.2
156,40302,0.17757,,-0.221275,0.05,296.45,187.3
157,40394,0.27273,,0.174109,0.05,256.2,187.7
158,40477,0.36364,,0.470592,0.05,249.02,188.0
159,40982,0.31613,,0.903657,0.05,310.82,189.6
160,41773,0.77381,0.1925,2.311597,0.05,138.51,195.4
161,41950,0.09091,,0.460464,0.05,295.25,196.0
162,42318,0.10778,,0.288229,0.05,290.74,197.2
163,42771,0.14796,,0.365616,0.05,302.8,198.7
164,42869,0.17949,,0.17825,0.05,260.62,199.1
165,43005,0.20339,,0.376484,0.05,277.35,199.6
166,43135,0.43333,,0.347043,0.05,283.18,200.1
167,43663,0.33333,,0.131811,0.05,303.92,201.8
168,44132,0.57018,,0.392999,0.05,315.52,203.3
169,44490,0.20567,,-0.399163,0.05,308.37,204.5
170,44756,0.09804,0.2325,-0.734387,0.05,63.25,208.7
171,45049,0.13158,,-0.780574,0.05,294.5,209.7
172,45221,0.04945,,-0.733148,0.05,307.61,210.2
173,45355,0.05319,,-0.79359,0.05,278.14,210.7
174,45710,0.1411,,-0.722321,0.05,305.64,211.9
175,46065,0.12568,,-0.690643,0.05,310.32,213.0
176,46615,0.19474,,-0.633027,0.05,308.94,214.8
177,46866,0.17895,,-0.550458,0.05,286.65,215.7
178,47039,0.33929,,-0.181548,0.05,271.06,216.3
179,47550,0.22843,,-0.177875,0.05,315.28,218.0
180,47734,0.07087,0.25,-0.369644,0.05,44.98,222.1
181,48269,0.5748,,1.007713,0.05,324.29,223.7
182,48581,0.04688,,-0.151564,0.05,314.43,224.7
183,48956,0.18065,,0.399065,0.05,309.82,225.9
184,49106,0.03371,,0.272974,0.05,274.52,226.5
185,49482,0.25362,,0.698752,0.05,304.1,227.7
186,49636,0.07619,,0.469346,0.05,267.72,228.3
187,50034,0.22695,,0.476213,0.05,312.02,229.6
188,50248,0.09174,,0.309323,0.05,281.81,230.3
189,50815,0.29697,,0.473653,0.05,293.41,232.3
190,51230,0.42342,0.21749999999999997,1.184408,0.05,86.42,237.1
191,51506,0.67188,,1.55272,0.05,300.55,238.0
192,51544,0.01493,,0.022158,0.05,246.96,238.1
193,51823,0.42308,,0.20658,0.05,297.58,239.1
194,52123,0.28125,,-0.070874,0.05,300.17,240.1
195,52201,0.07018,,-0.472702,0.05,250.19,240.4
196,52331,0.48387,,0.290417,0.05,281.36,240.9
197,52545,0.11957,,-0.492764,0.05,296.76,241.6
198,52876,0.19259,,-0.415178,0.05,313.75,242.6
199,53068,0.08791,,-0.655518,0.05,268.08,243.4
200,53394,0.37634,0.22000000000000003,0.079038,0.05,73.82,247.8
201,54043,0.39877,,-0.146081,0.05,313.41,249.9
202,54142,0.5,,0.408142,0.05,267.81,250.2
203,54366,0.22581,,-0.331266,0.05,289.93,251.0
204,54531,0.36538,,0.146148,0.05,283.2,251.6
205,54863,0.17829,,-0.266048,0.05,302.62,252.7
206,54950,0.00806,,-0.255678,0.05,282.41,253.0
207,55109,0.27778,,-0.246093,0.05,273.24,253.6
208,55431,0.05208,,-0.307349,0.05,316.05,254.6
209,55943,0.36585,,0.306237,0.05,311.84,256.2
210,56247,0.19298,0.185,-0.24024,0.05,70.2,260.6
211,56513,0.09559,,0.061965,0.05,305.86,261.5
212,56658,0.33333,,0.503672,0.05,289.16,262.0
213,56783,0.28947,,0.173587,0.05,269.93,262.4
214,56854,0.08696,,0.285154,0.05,253.69,262.7
215,57143,0.08092,,-0.154021,0.05,301.71,263.7
216,57305,0.33333,,0.230978,0.05,290.55,264.2
217,57494,0.05556,,-0.23535,0.05,289.58,264.9
