iter,steps,eta_val,eta_train,reward,policy_loss,value_loss,entropy,approx_kl,clip_frac,ratio_max,ratio_bound,epsilon,sps,fluid_solve_count,fluid_cache_hit,zeta,phi_star_mean,a_f_mean,elapsed_s
36,108806,,0.40792,-0.18021,-0.001912,0.000765,1.047414,0.001331,0.04766,1.358073,77.778,0.18,32.66,3101,1383,0.6916,0.6747,3.393,3332.6
37,110592,,0.30516,-0.40136,-0.00126,0.002965,1.068196,0.000685,0.046658,1.389482,84.906,0.17667,32.69,1328,466,0.7402,0.762,3.58,3387.2
38,112842,,0.27725,-0.4835,-0.003175,0.003637,1.072166,0.002787,0.055102,1.250209,75.0,0.17333,32.21,1627,631,0.7205,0.661,3.45,3457.1
39,114517,,0.23373,-0.55308,-0.028086,0.004099,1.07454,0.000546,0.068689,1.955172,88.235,0.17,32.76,1313,370,0.7802,0.7162,3.606,3508.2
40,117519,0.6649999999999999,0.42603,-0.15123,0.000344,0.002101,1.041021,0.003787,0.076093,1.408426,102.0,0.16667,32.74,2119,891,0.704,0.7229,3.368,3615.7
41,120060,,0.35576,-0.30318,-0.000971,0.002413,1.059263,0.005231,0.061629,1.590709,104.082,0.16333,32.73,1820,729,0.714,0.7698,3.514,3693.3
42,122899,,0.30234,-0.4238,-0.001232,0.001189,1.076416,0.002112,0.064095,1.74607,106.25,0.16,32.79,2000,847,0.7025,0.7027,3.516,3779.9
43,125853,,0.26902,-0.48518,0.00753,0.00299,1.032088,0.004272,0.108355,1.478981,108.511,0.15667,32.34,2208,754,0.7454,0.7267,3.486,3871.3
44,128701,,0.27924,-0.4586,-0.007266,0.00207,1.068238,0.005898,0.088315,1.443051,117.391,0.15333,33.03,2027,829,0.7097,0.6804,3.545,3957.5
45,132691,,0.30576,-0.41508,-0.00213,0.001113,1.095005,0.001889,0.049775,1.35221,113.333,0.15,32.98,2962,1036,0.7409,0.7185,3.634,4078.5
46,135799,,0.28139,-0.45929,0.000978,0.001599,1.120804,-0.002255,0.020648,1.542674,109.091,0.14667,32.55,2300,816,0.7381,0.6612,3.709,4174.0
47,138241,,0.35355,-0.32224,0.013082,0.00289,1.078017,0.003707,0.008307,1.406057,132.558,0.14333,32.91,1768,682,0.7216,0.7616,3.472,4248.3
48,140697,,0.31784,-0.38872,0.001841,0.003375,1.091698,0.001229,0.051606,1.383085,100.0,0.14,33.15,1815,649,0.7366,0.727,3.59,4322.3
49,144445,,0.30583,-0.41857,-0.001499,0.000818,1.109959,0.003705,0.062211,1.490634,168.293,0.13667,33.05,2627,1129,0.6994,0.6484,3.694,4435.8
50,147916,0.6775,0.31252,-0.38522,-0.007699,0.001636,1.037892,0.002307,0.037407,1.424333,105.0,0.13333,32.65,2503,976,0.7195,0.7634,3.428,4558.7
51,149801,,0.1578,-0.70921,-0.005223,0.001568,1.079744,0.009031,0.119191,1.336266,107.692,0.13,32.76,1493,400,0.7887,0.6911,3.907,4616.3
52,153409,,0.3288,-0.34876,-0.001576,0.001122,0.956723,0.002637,0.074324,1.527571,118.421,0.12667,32.84,2566,1050,0.7096,0.7382,3.409,4726.1
53,156292,,0.26992,-0.47305,-0.00679,0.001071,1.028641,0.005839,0.105331,1.424856,154.054,0.12333,33.13,2158,733,0.7465,0.7001,3.68,4813.2
54,158262,,0.24314,-0.52612,-0.010974,0.002196,1.078582,0.004639,0.084173,1.91034,133.333,0.12,32.85,1465,513,0.7406,0.6872,3.918,4873.1
55,161068,,0.29727,-0.43361,-0.003276,0.001847,1.064953,0.003933,0.077565,1.580803,145.714,0.11667,32.63,2062,752,0.7328,0.6838,3.791,4959.1
56,165020,,0.32391,-0.37932,0.000453,0.000787,1.094397,0.002631,0.051267,1.884003,202.941,0.11333,32.61,2761,1199,0.6972,0.6334,3.707,5080.4
57,168332,,0.2744,-0.47418,-0.002769,0.001392,1.105509,0.002366,0.043756,1.549796,136.364,0.11,32.48,2317,1003,0.6979,0.6771,3.7,5182.3
58,170761,,0.20825,-0.60281,-0.004687,0.001606,1.130099,0.004947,0.062188,1.372136,187.5,0.10667,32.27,1761,676,0.7226,0.7083,3.995,5257.6
59,174060,,0.24883,-0.53106,-0.003384,0.001651,1.084023,0.004808,0.061059,1.592814,164.516,0.10333,32.67,2267,1040,0.6855,0.7334,3.731,5358.6
60,177602,0.5025000000000001,0.24243,-0.5331,0.000567,0.001472,1.106327,0.002995,0.062262,2.302357,190.0,0.1,32.35,2519,1031,0.7096,0.7437,3.959,5482.2
61,181812,,0.24228,-0.54097,-0.007428,0.001267,1.121677,0.004527,0.091603,1.663404,206.897,0.09667,32.36,2909,1309,0.6897,0.6904,3.943,5612.3
62,184709,,0.27513,-0.45944,-0.004826,0.001393,1.155204,0.007296,0.069804,1.607253,192.857,0.09333,32.69,2083,822,0.717,0.647,4.094,5700.9
63,187397,,0.3816,-0.2529,-0.004272,0.001744,1.072297,0.004003,0.062376,2.100149,200.0,0.09,32.53,1899,797,0.7044,0.7324,3.79,5783.5
64,190425,,0.37885,-0.25435,-0.001578,0.001822,1.02949,0.003583,0.050916,2.643917,219.231,0.08667,32.48,2079,957,0.6848,0.7391,3.646,5876.8
65,193885,,0.44212,-0.14473,-0.004128,0.001894,1.016199,0.003011,0.051804,3.204625,180.0,0.08333,32.57,2319,1149,0.6687,0.7724,3.565,5983.0
66,198579,,0.3502,-0.3211,-0.001182,0.001029,1.081788,0.002489,0.062204,1.807608,237.5,0.08,32.98,3179,1523,0.6761,0.6787,3.843,6125.4
67,201996,,0.32376,-0.36143,-0.002274,0.001483,1.063375,0.001789,0.064786,1.982948,286.957,0.07667,33.11,2352,1073,0.6867,0.7457,3.681,6228.6
