iter,steps,eta_train,eta_val,loss,epsilon,sps,elapsed_s
109,37642,0.04762,,0.094417,0.05,311.07,173.9
110,38277,0.17829,0.27,0.00639,0.05,72.49,182.7
111,38674,0.5283,,0.176947,0.05,336.5,183.8
112,39234,0.4381,,0.030325,0.05,340.88,185.5
113,40145,0.54667,,0.056587,0.05,331.27,188.2
114,41235,0.70787,,0.198411,0.05,340.44,191.4
115,42046,0.42778,,0.024026,0.05,301.84,194.1
116,42722,0.38312,,0.039394,0.05,309.7,196.3
117,43673,0.47692,,0.04591,0.05,324.53,199.3
118,44278,0.25843,,0.185244,0.05,281.35,201.4
119,45314,0.68718,,0.084025,0.05,314.38,204.7
120,45450,0.14286,0.31,0.243693,0.05,26.42,209.9
121,45666,0.12081,,0.154062,0.05,295.19,210.6
122,45719,0.0,,0.171627,0.05,251.7,210.8
123,45832,0.0566,,0.094001,0.05,277.62,211.2
124,46297,0.70408,,0.26205,0.05,314.8,212.7
125,46441,0.51515,,0.098165,0.05,284.24,213.2
126,46771,0.46512,,0.061132,0.05,296.03,214.3
127,46983,0.59184,,0.12814,0.05,297.88,215.0
128,47631,0.36413,,0.006573,0.05,295.88,217.2
129,48042,0.37705,,0.00648,0.05,291.37,218.7
130,48394,0.18667,0.42000000000000004,0.052589,0.05,62.98,224.2
131,48884,0.29609,,0.012382,0.05,295.06,225.9
132,48936,0.06061,,0.086512,0.05,253.03,226.1
133,49170,0.28,,0.012392,0.05,278.58,227.0
134,49323,0.05042,,0.101486,0.05,300.04,227.5
135,49560,0.17708,,0.015177,0.05,299.08,228.3
136,49687,0.57143,,0.144402,0.05,298.06,228.7
137,50101,0.36641,,0.05419,0.05,298.59,230.1
138,50434,0.62338,,0.27277,0.05,292.07,231.2
139,50540,0.59259,,0.237621,0.05,281.88,231.6
140,50653,0.06944,0.3825,0.03573,0.05,24.08,236.3
141,50837,0.17722,,0.016323,0.05,296.93,236.9
142,51557,0.35354,,0.008268,0.05,297.3,239.3
143,51777,0.04217,,0.059004,0.05,295.93,240.1
144,51927,0.0,,0.059538,0.05,269.79,240.7
145,52605,0.52727,,0.088223,0.05,307.79,242.9
146,53093,0.39535,,0.030994,0.05,296.93,244.5
147,53427,0.05525,,0.050258,0.05,299.41,245.6
148,54072,0.53704,,0.098063,0.05,299.86,247.8
149,54825,0.59538,,0.158279,0.05,303.17,250.3
150,55256,0.76667,0.3625,0.203815,0.05,75.84,256.0
151,55558,0.14024,,0.035588,0.05,297.67,257.0
152,55879,0.58974,,0.073381,0.05,288.92,258.1
153,56084,0.22667,,0.127144,0.05,293.35,258.8
154,56426,0.12139,,0.139752,0.05,292.09,260.0
155,56623,0.06024,,0.175819,0.05,293.74,260.6
156,57245,0.46809,,0.014118,0.05,297.88,262.7
157,57452,0.08824,,0.095071,0.05,293.87,263.4
158,58225,0.43939,,0.018186,0.05,304.43,266.0
159,58804,0.51613,,0.025262,0.05,307.88,267.9
160,59225,0.31008,0.32999999999999996,0.008797,0.05,73.57,273.6
161,59721,0.29518,,0.040508,0.05,303.41,275.2
162,60270,0.35484,,0.003125,0.05,287.84,277.1
163,60484,0.21176,,0.022533,0.05,287.89,277.9
164,60782,0.10448,,0.076622,0.05,306.01,278.9
165,61193,0.53261,,0.091271,0.05,289.07,280.3
166,61369,0.01523,,0.072409,0.05,301.89,280.9
167,61826,0.08667,,0.039216,0.05,304.52,282.4
168,61933,0.0,,0.020286,0.05,296.21,282.7
169,62364,0.24419,,0.007755,0.05,317.7,284.1
170,63005,0.13,0.10500000000000001,0.014085,0.05,84.22,291.7
171,63390,0.0051,,0.023319,0.05,345.51,292.8
172,63802,0.04255,,0.026583,0.05,305.23,294.2
173,64004,0.02778,,0.038338,0.05,324.61,294.8
174,64246,0.01562,,0.021789,0.05,322.01,295.6
175,64331,0.0,,0.027349,0.05,289.85,295.9
176,65131,0.0,,0.020558,0.05,350.3,298.1
177,65190,0.0,,0.054886,0.05,255.66,298.4
178,65786,0.0,,0.017156,0.05,362.81,300.0
179,66532,0.05405,,0.011463,0.05,327.56,302.3
180,66618,0.0,0.04,0.017939,0.05,16.37,307.6
181,66834,0.15152,,0.023485,0.05,331.55,308.2
182,67196,0.0,,0.013815,0.05,339.17,309.3
183,67492,0.04225,,0.003309,0.05,331.18,310.2
184,68013,0.02055,,0.012965,0.05,331.46,311.8
185,68271,0.03797,,0.006454,0.05,324.73,312.6
186,68824,0.10417,,0.003318,0.05,323.83,314.3
187,68964,0.01887,,0.014488,0.05,297.03,314.7
188,69289,0.13333,,0.015565,0.05,306.74,315.8
189,69433,0.0,,0.068122,0.05,304.89,316.3
190,70243,0.50413,0.21999999999999997,0.214977,0.05,114.6,323.3
191,70696,0.0916,,0.023959,0.05,307.58,324.8
192,71035,0.30488,,0.067233,0.05,301.27,326.0
193,71349,0.02985,,0.005943,0.05,307.21,327.0
194,71642,0.23457,,0.014127,0.05,304.72,327.9
195,72039,0.17308,,0.02471,0.05,293.15,329.3
196,72557,0.54902,,0.129813,0.05,325.56,330.9
197,73059,0.27703,,0.053605,0.05,281.78,332.7
198,73326,0.32955,,0.021211,0.05,291.89,333.6
199,73451,0.0,,0.069409,0.05,279.86,334.0
200,74061,0.62295,0.30000000000000004,0.183544,0.05,101.47,340.1
201,74155,0.08696,,0.037077,0.05,287.23,340.4
202,74597,0.16583,,0.007831,0.05,301.36,341.9
203,74874,0.15315,,0.035074,0.05,290.82,342.8
204,75030,0.06452,,0.042978,0.05,293.85,343.4
205,75488,0.42735,,0.107042,0.05,300.19,344.9
206,75619,0.07143,,0.021635,0.05,281.43,345.3
207,76220,0.40838,,0.117071,0.05,301.29,347.3
208,76430,0.38,,0.029866,0.05,298.38,348.1
209,76859,0.42593,,0.048816,0.05,304.0,349.5
210,77121,0.05294,0.3225,0.035867,0.05,53.68,354.3
211,77449,0.0679,,0.049065,0.05,293.47,355.5
212,77882,0.20238,,0.001892,0.05,300.1,356.9
213,78201,0.10667,,0.017045,0.05,305.99,358.0
214,78554,0.24806,,0.001823,0.05,296.92,359.2
215,78688,0.03509,,0.035582,0.05,275.49,359.6
216,78837,0.11765,,0.019802,0.05,303.48,360.1
217,78936,0.09756,,0.012416,0.05,269.62,360.5
218,79139,0.14493,,0.02288,0.05,305.02,361.2
219,79525,0.54217,,0.499439,0.05,310.71,362.4
220,79792,0.2125,0.2475,0.107261,0.05,50.37,367.7
221,79869,0.03333,,0.027237,0.05,263.67,368.0
222,80109,0.06667,,0.020145,0.05,303.87,368.8
223,80176,0.10714,,0.148893,0.05,265.96,369.1
224,80205,0.0,,0.021759,0.05,274.64,369.2
225,80694,0.14815,,0.014031,0.05,295.55,370.8
226,81072,0.03243,,0.011931,0.05,311.18,372.0
227,81526,0.16239,,0.021292,0.05,321.95,373.5
228,81551,0.0,,0.022218,0.05,271.08,373.6
229,81609,0.0,,0.03577,0.05,263.74,373.8
230,81761,0.0,0.15500000000000003,0.044195,0.05,24.46,380.0
231,82598,0.18713,,0.007762,0.05,342.24,382.4
232,82848,0.27451,,0.026956,0.05,308.87,383.3
233,83396,0.46316,,0.080505,0.05,325.74,384.9
234,83943,0.21296,,0.005814,0.05,328.58,386.6
235,84402,0.19192,,0.002873,0.05,324.21,388.0
236,84605,0.05882,,0.080994,0.05,327.67,388.7
237,85103,0.26786,,0.004497,0.05,312.91,390.2
238,86174,0.68,,0.280633,0.05,336.6,393.4
239,86335,0.47368,,0.079292,0.05,292.96,394.0
