iter,steps,eta_val,eta_train,reward,policy_loss,value_loss,entropy,approx_kl,clip_frac,ratio_max,ratio_bound,epsilon,sps,fluid_solve_count,fluid_cache_hit,zeta,phi_star_mean,a_f_mean,elapsed_s
36,102447,,0.06485,-0.88061,-0.002491,0.000738,1.246171,0.001722,0.007812,1.271149,100.0,0.18,31.45,1352,517,0.7234,0.6551,4.132,3280.2
37,104690,,0.18343,-0.64909,-0.001823,0.001719,1.182399,0.000993,0.020913,1.570877,90.566,0.17667,31.86,1632,619,0.725,0.6828,3.882,3350.6
38,106585,,0.0926,-0.84472,-0.002587,0.000777,1.220727,0.00344,0.026453,1.681731,121.154,0.17333,32.01,1384,519,0.7273,0.6338,4.04,3409.8
39,108682,,0.09286,-0.83932,0.001007,0.000925,1.236369,0.006244,0.057983,2.97868,111.765,0.17,32.0,1486,619,0.7059,0.6189,4.251,3475.4
40,111305,0.5549999999999999,0.16858,-0.68077,0.000338,0.000921,1.202633,0.003052,0.033878,2.742998,120.0,0.16667,31.5,1771,860,0.6731,0.6631,4.047,3576.0
41,114470,,0.16493,-0.70245,-0.004756,0.000855,1.158391,0.005759,0.049272,2.161261,122.449,0.16333,31.56,2123,1050,0.6691,0.6151,3.792,3676.3
42,117048,,0.09883,-0.83538,-0.008888,0.00062,1.219852,0.001629,0.065683,1.533615,143.75,0.16,32.2,1826,760,0.7061,0.6448,4.054,3756.4
43,119725,,0.11522,-0.79497,-0.003034,0.000613,1.270356,0.004181,0.043028,4.166349,140.426,0.15667,32.17,1861,824,0.6931,0.6242,4.327,3839.6
44,122187,,0.14605,-0.75024,-0.004382,0.000807,1.151833,0.009476,0.055738,2.503461,136.957,0.15333,31.94,1681,789,0.6806,0.6236,3.989,3916.7
45,124108,,0.09452,-0.84368,-0.039185,0.000732,1.159843,0.002298,0.066243,1.606811,140.0,0.15,31.24,1387,542,0.719,0.608,4.1,3978.2
46,126684,,0.13469,-0.75283,-0.00566,0.000598,1.087917,0.006665,0.069692,2.389787,143.182,0.14667,31.74,1770,814,0.685,0.6406,3.665,4059.3
47,129893,,0.15922,-0.70621,-0.007084,0.000482,1.127515,-0.000135,0.062567,2.097356,202.326,0.14333,32.01,2300,917,0.715,0.6325,4.049,4159.6
48,132982,,0.18207,-0.65762,-0.012421,0.000555,1.096734,0.00448,0.052243,2.399029,192.857,0.14,31.45,2152,945,0.6949,0.6133,3.871,4257.9
49,135035,,0.09208,-0.85043,0.017923,0.000679,1.145565,0.007421,0.048897,1.376056,124.39,0.13667,31.31,1518,543,0.7365,0.6227,3.962,4323.5
50,138485,0.4125,0.13305,-0.767,-0.004547,0.000444,1.080907,0.005592,0.062557,1.917318,150.0,0.13333,32.07,2458,1000,0.7108,0.6331,3.662,4441.6
51,140216,,0.12602,-0.77093,-0.004593,0.000925,1.208491,0.002092,0.033399,1.444224,200.0,0.13,32.09,1203,536,0.6918,0.6109,4.537,4495.5
52,142431,,0.09044,-0.84526,-0.000313,0.000452,1.185971,0.013524,0.028995,1.671582,165.789,0.12667,32.28,1641,582,0.7382,0.6302,4.104,4564.2
53,145771,,0.15762,-0.7136,0.004297,0.000472,1.094613,0.020498,0.038741,5.765828,178.378,0.12333,32.24,2364,984,0.7061,0.6407,3.747,4667.8
54,147567,,0.09982,-0.82982,0.007491,0.001061,1.199757,0.004326,0.042882,2.648866,150.0,0.12,31.42,1281,523,0.7101,0.604,4.07,4724.9
55,150290,,0.14457,-0.75382,-0.000958,0.001067,1.151281,0.004705,0.048681,1.881723,162.857,0.11667,32.06,1961,770,0.7181,0.6265,4.048,4809.9
56,153801,,0.17092,-0.68733,-0.005171,0.000442,1.065677,0.005281,0.063486,9.719755,185.294,0.11333,31.83,2458,1061,0.6985,0.6268,3.66,4920.2
57,156371,,0.1144,-0.80424,0.005961,0.000545,1.198051,-0.000447,0.06503,3.561059,245.455,0.11,31.22,1793,785,0.6955,0.5771,4.447,5002.5
58,159945,,0.19751,-0.63061,-0.00346,0.00054,1.028258,0.007958,0.069129,1.57937,225.0,0.10667,31.56,2585,997,0.7217,0.6754,3.684,5115.8
59,162932,,0.15384,-0.71452,0.001068,0.000477,1.090454,0.005418,0.041652,1.76107,212.903,0.10333,31.93,2138,857,0.7139,0.6027,3.946,5209.3
60,165818,0.3875,0.18382,-0.66416,-0.004057,0.00082,1.088504,0.0058,0.059381,2.270778,230.0,0.1,32.06,2046,848,0.707,0.6062,3.94,5308.1
61,167647,,0.14728,-0.7362,-0.013038,0.001404,1.080029,0.000147,0.05351,1.781889,165.517,0.09667,32.13,1362,475,0.7414,0.6718,3.907,5365.1
62,170854,,0.15539,-0.71814,0.001635,0.000442,1.034065,0.007694,0.066235,2.224656,182.143,0.09333,31.8,2363,852,0.735,0.6619,3.774,5465.9
63,173823,,0.19562,-0.62794,-0.002577,0.000725,0.99617,0.002543,0.048854,3.932849,277.778,0.09,32.28,2157,820,0.7246,0.6819,3.586,5557.9
64,176506,,0.13212,-0.73911,-0.001692,0.000547,1.146752,0.002028,0.02631,3.36415,242.308,0.08667,32.25,1961,730,0.7287,0.6048,4.138,5641.1
65,178729,,0.17561,-0.67078,0.00078,0.001039,1.048468,0.005327,0.060813,3.550095,228.0,0.08333,31.93,1679,552,0.7526,0.7408,3.679,5710.8
66,182146,,0.19821,-0.62133,-0.000915,0.000616,1.058711,0.006939,0.031654,2.784136,275.0,0.08,31.31,2468,957,0.7206,0.6528,3.812,5819.9
67,185091,,0.19692,-0.63412,-0.018856,0.000683,1.033701,0.002749,0.052192,2.410536,195.652,0.07667,32.11,2183,770,0.7392,0.6717,3.631,5911.7
68,188025,,0.18226,-0.65583,-0.00142,0.000902,1.053321,0.003057,0.036017,2.284538,272.727,0.07333,31.43,2135,807,0.7257,0.6603,3.755,6005.0
69,190954,,0.26019,-0.50608,0.000702,0.001176,0.974675,0.004129,0.015828,2.376971,200.0,0.07,30.59,2063,874,0.7024,0.6586,3.306,6100.8
70,195193,0.48250000000000004,0.19239,-0.63752,-0.001564,0.000477,1.153442,0.007348,0.042514,3.822299,360.0,0.06667,31.54,2998,1249,0.7059,0.6294,4.184,6249.1
71,199322,,0.17252,-0.65654,-0.003264,0.00051,1.043551,0.006008,0.069487,2.072865,300.0,0.06333,32.12,2949,1188,0.7128,0.677,3.639,6377.6
72,202538,,0.16383,-0.71045,0.000928,0.000651,1.103439,0.002241,0.01883,3.138918,333.333,0.06,31.88,2312,912,0.7171,0.6335,3.844,6478.5
73,205173,,0.16508,-0.69363,-0.006709,0.000593,1.041603,0.006651,0.061501,1.587491,282.353,0.05667,32.01,1864,779,0.7053,0.6859,3.609,6560.8
74,208548,,0.16891,-0.68882,-0.006954,0.000646,1.012098,0.011477,0.076358,1.993582,393.75,0.05333,32.27,2365,1018,0.6991,0.6615,3.67,6665.4
75,211083,,0.22268,-0.57347,-0.001707,0.001036,0.993243,0.003428,0.03872,2.977822,320.0,0.05,32.19,1863,680,0.7326,0.7467,3.663,6744.2
76,213943,,0.22814,-0.56916,-0.002109,0.000972,0.954176,0.008405,0.076735,3.72512,514.286,0.04667,31.28,2089,779,0.7284,0.6752,3.699,6835.7
77,216821,,0.29435,-0.42692,-0.000883,0.001085,0.95662,0.007033,0.030352,2.365691,461.538,0.04333,31.88,2010,876,0.6965,0.7102,3.419,6926.0
78,219706,,0.12028,-0.78945,-0.005335,0.000673,1.014448,0.027146,0.101072,3.71595,500.0,0.04,32.02,2174,719,0.7515,0.6722,3.788,7016.1
79,224135,,0.26437,-0.49267,-0.002274,0.000653,0.953402,0.004722,0.047119,9.935612,490.909,0.03667,31.95,3150,1287,0.7099,0.685,3.535,7154.7
80,228233,0.3975000000000001,0.22667,-0.56459,0.002271,0.000654,0.90952,0.010174,0.066919,1.976283,510.0,0.03333,32.12,3003,1103,0.7314,0.7247,3.422,7292.3
81,230835,,0.15322,-0.73109,-0.008973,0.000999,0.986942,0.008709,0.078025,3.703456,533.333,0.03,32.19,1989,621,0.7621,0.6347,3.852,7373.1
