iter,steps,eta_train,eta_val,loss,epsilon,sps,elapsed_s
109,46636,0.23313,,0.013161,0.05,315.86,191.6
110,46888,0.03378,0.29500000000000004,0.021718,0.05,49.89,196.7
111,47120,0.04,,0.022936,0.05,332.57,197.4
112,47381,0.45283,,0.115493,0.05,314.25,198.2
113,47671,0.04348,,0.019359,0.05,316.19,199.2
114,48462,0.32143,,0.066181,0.05,332.15,201.5
115,48756,0.008,,0.032181,0.05,356.91,202.4
116,49202,0.14414,,0.01802,0.05,378.06,203.6
117,49254,0.0,,0.015561,0.05,274.6,203.7
118,49389,0.03226,,0.018247,0.05,330.08,204.2
119,50024,0.15385,,0.00693,0.05,321.45,206.1
120,50570,0.08,0.052500000000000005,0.019763,0.05,92.72,212.0
121,50941,0.03883,,0.024786,0.05,348.62,213.1
122,51850,0.1413,,0.004258,0.05,352.89,215.7
123,51956,0.0,,0.016283,0.05,315.69,216.0
124,52215,0.07463,,0.013345,0.05,319.42,216.8
125,52280,0.0,,0.062016,0.05,277.59,217.1
126,52709,0.21839,,0.054641,0.05,365.6,218.2
127,53052,0.23611,,0.018036,0.05,332.92,219.3
128,53152,0.0,,0.015013,0.05,316.22,219.6
129,53478,0.25,,0.01177,0.05,334.03,220.6
130,53972,0.17553,0.23500000000000001,0.005734,0.05,85.13,226.4
131,54558,0.2973,,0.017251,0.05,334.75,228.1
132,54955,0.16667,,0.015718,0.05,337.2,229.3
133,55707,0.36649,,0.016357,0.05,332.52,231.6
134,55759,0.0,,0.037903,0.05,265.48,231.8
135,55830,0.0,,0.05271,0.05,263.5,232.0
136,55992,0.05319,,0.066306,0.05,302.02,232.6
137,56095,0.03361,,0.035589,0.05,291.1,232.9
138,56165,0.04167,,0.052043,0.05,276.96,233.2
139,56593,0.30556,,0.010269,0.05,329.59,234.5
140,56730,0.0339,0.20249999999999999,0.014601,0.05,33.88,238.5
141,57037,0.15179,,0.008104,0.05,318.41,239.5
142,57282,0.09032,,0.032729,0.05,329.39,240.3
143,57650,0.07595,,0.025091,0.05,342.28,241.3
144,57924,0.0,,0.016889,0.05,328.18,242.2
145,58362,0.1,,0.009557,0.05,318.96,243.6
146,58651,0.14815,,0.011368,0.05,321.13,244.5
147,58953,0.17568,,0.00731,0.05,331.28,245.4
148,59289,0.06667,,0.013267,0.05,333.1,246.4
149,59847,0.09948,,0.003572,0.05,335.19,248.0
150,59923,0.0,0.1,0.084143,0.05,18.26,252.2
151,60123,0.01333,,0.016827,0.05,336.39,252.8
152,60435,0.13333,,0.004881,0.05,342.88,253.7
153,60723,0.05747,,0.013749,0.05,331.86,254.6
154,61218,0.19444,,0.029982,0.05,350.42,256.0
155,61293,0.0,,0.032653,0.05,287.01,256.3
156,61663,0.005,,0.005045,0.05,325.14,257.4
157,61842,0.03571,,0.023764,0.05,314.26,258.0
158,62348,0.05978,,0.006369,0.05,329.55,259.5
159,62771,0.10084,,0.019098,0.05,330.36,260.8
160,63052,0.0625,0.027500000000000004,0.008508,0.05,68.05,264.9
161,63445,0.01005,,0.003125,0.05,337.03,266.1
162,63494,0.0,,0.025123,0.05,253.45,266.3
163,63555,0.0,,0.022418,0.05,263.0,266.5
164,63901,0.02532,,0.005022,0.05,321.59,267.6
165,64058,0.05556,,0.009472,0.05,325.7,268.1
166,64493,0.06612,,0.013422,0.05,334.3,269.4
167,64764,0.0274,,0.013026,0.05,334.02,270.2
168,65226,0.0381,,0.011393,0.05,360.59,271.5
169,65393,0.09756,,0.020163,0.05,316.28,272.0
170,65436,0.0,0.052500000000000005,0.039367,0.05,13.49,275.2
171,65582,0.05172,,0.00938,0.05,299.62,275.7
172,65839,0.07937,,0.020288,0.05,347.03,276.5
173,66484,0.08219,,0.005719,0.05,354.31,278.3
174,66754,0.0,,0.012693,0.05,326.16,279.1
175,66952,0.03846,,0.010079,0.05,324.96,279.7
176,67515,0.25743,,0.040115,0.05,342.17,281.4
177,67857,0.0804,,0.013976,0.05,290.04,282.6
178,67949,0.0,,0.048713,0.05,296.82,282.9
179,68532,0.01626,,0.032784,0.05,354.83,284.5
180,68907,0.09467,0.06999999999999999,0.009199,0.05,84.23,289.0
181,69410,0.06944,,0.004034,0.05,332.7,290.5
182,69454,0.0,,0.061281,0.05,275.31,290.7
183,69746,0.04317,,0.014869,0.05,316.11,291.6
184,70285,0.04624,,0.003903,0.05,344.62,293.1
185,70386,0.09524,,0.00705,0.05,310.1,293.5
186,70812,0.00699,,0.008711,0.05,340.62,294.7
187,70857,0.0,,0.038959,0.05,279.25,294.9
188,71474,0.03209,,0.0051,0.05,335.7,296.7
189,71550,0.0,,0.054371,0.05,278.69,297.0
190,71644,0.0,0.0,0.076098,0.05,28.26,300.3
191,71787,0.0,,0.007925,0.05,334.02,300.8
192,72357,0.0229,,0.003512,0.05,343.58,302.4
193,72758,0.0,,0.007636,0.05,338.22,303.6
194,72818,0.0,,0.019119,0.05,263.03,303.9
195,72869,0.0,,0.025368,0.05,281.17,304.0
196,73195,0.04688,,0.026165,0.05,343.15,305.0
197,73536,0.02797,,0.016157,0.05,318.69,306.1
198,73604,0.0,,0.011004,0.05,288.67,306.3
199,73847,0.0,,0.020381,0.05,331.15,307.0
200,73998,0.0,0.035,0.039806,0.05,34.78,311.4
201,74213,0.09259,,0.020731,0.05,315.31,312.1
202,74512,0.01562,,0.020957,0.05,313.89,313.0
203,74941,0.04734,,0.01245,0.05,309.15,314.4
204,75310,0.00741,,0.010642,0.05,349.12,315.5
205,75327,0.0,,0.126681,0.05,271.79,315.5
206,75591,0.05333,,0.007377,0.05,342.95,316.3
207,75778,0.0,,0.01034,0.05,332.42,316.9
208,76151,0.104,,0.00966,0.05,324.27,318.0
209,76395,0.18,,0.013327,0.05,335.03,318.8
210,76661,0.07407,0.1025,0.014994,0.05,59.38,323.2
211,76694,0.0,,0.039771,0.05,263.21,323.4
212,77365,0.18354,,0.00867,0.05,351.08,325.3
213,77527,0.0,,0.02411,0.05,332.25,325.8
214,78125,0.14375,,0.012096,0.05,340.11,327.5
215,78329,0.06186,,0.021664,0.05,295.72,328.2
216,78493,0.0,,0.022662,0.05,305.14,328.8
217,78783,0.00741,,0.007975,0.05,333.91,329.6
218,78878,0.025,,0.012449,0.05,290.88,330.0
219,79029,0.06977,,0.023052,0.05,299.78,330.5
220,79244,0.0,0.0625,0.010404,0.05,45.11,335.2
221,79383,0.05,,0.022444,0.05,299.85,335.7
222,79598,0.01149,,0.00874,0.05,324.33,336.4
223,79699,0.0,,0.01808,0.05,271.57,336.7
224,80464,0.19595,,0.045819,0.05,344.99,339.0
225,80657,0.05263,,0.007172,0.05,306.75,339.6
226,80768,0.0,,0.017847,0.05,298.48,340.0
227,80901,0.0,,0.014462,0.05,313.29,340.4
228,80963,0.0,,0.053124,0.05,251.92,340.7
229,81159,0.03333,,0.035302,0.05,318.4,341.3
230,81356,0.0,0.075,0.006747,0.05,37.67,346.5
231,81891,0.05025,,0.008429,0.05,336.67,348.1
232,82070,0.0,,0.046305,0.05,341.4,348.6
233,82257,0.0,,0.007305,0.05,336.7,349.2
234,82419,0.08511,,0.016731,0.05,321.91,349.7
235,82592,0.06897,,0.011609,0.05,309.83,350.2
236,82705,0.0,,0.008374,0.05,290.58,350.6
237,82837,0.02174,,0.027284,0.05,297.68,351.1
238,83104,0.10619,,0.0051,0.05,297.49,352.0
239,83404,0.0,,0.017361,0.05,352.06,352.8
240,83970,0.34,0.12250000000000001,0.056513,0.05,92.21,359.0
241,84437,0.08088,,0.004922,0.05,349.95,360.3
242,84829,0.23404,,0.026537,0.05,335.11,361.5
243,84901,0.05,,0.02607,0.05,282.2,361.8
244,85077,0.16981,,0.007849,0.05,305.44,362.3
245,85370,0.1087,,0.004351,0.05,317.93,363.3
246,85502,0.03448,,0.030157,0.05,313.95,363.7
247,85641,0.01709,,0.011993,0.05,320.29,364.1
248,85843,0.1039,,0.0069,0.05,324.38,364.7
249,85857,0.0,0.185,0.014272,0.05,3.44,368.8
