iter,steps,eta_val,eta_train,reward,policy_loss,value_loss,entropy,approx_kl,clip_frac,ratio_max,ratio_bound,epsilon,sps,fluid_solve_count,fluid_cache_hit,zeta,phi_star_mean,a_f_mean,elapsed_s
36,106954,,0.30856,-0.37744,0.001516,0.001675,1.165616,0.006547,0.057405,1.359497,144.444,0.18,32.2,1966,858,0.6962,0.7417,3.688,3356.0
37,109513,,0.12221,-0.75558,-0.003482,0.002156,1.239216,0.003064,0.06382,1.534945,130.189,0.17667,31.91,1797,762,0.7022,0.6094,3.999,3436.2
38,112268,,0.22798,-0.54047,-0.005829,0.001177,1.159416,0.008375,0.079613,1.440515,92.308,0.17333,32.47,1963,792,0.7125,0.7462,3.675,3521.1
39,115199,,0.22125,-0.54756,-0.00187,0.001085,1.177509,0.00337,0.014407,1.341497,111.765,0.17,32.92,2030,901,0.6926,0.6812,3.785,3610.1
40,118565,0.6575,0.33043,-0.33769,-0.001589,0.001291,1.141218,0.005846,0.03659,1.375632,96.0,0.16667,32.81,2300,1066,0.6833,0.7321,3.595,3727.8
41,122987,,0.31958,-0.36021,-0.001001,0.000934,1.191176,0.004631,0.045147,1.394781,165.306,0.16333,32.56,3124,1298,0.7065,0.6745,3.878,3863.7
42,126284,,0.21912,-0.56176,-0.004497,0.001094,1.097266,0.005348,0.075937,1.660177,93.75,0.16,32.62,2385,912,0.7234,0.6947,3.523,3964.8
43,129097,,0.18784,-0.62352,-0.002739,0.001039,1.10731,0.003502,0.050362,1.728015,95.745,0.15667,32.45,2106,707,0.7487,0.6524,3.596,4051.5
44,132122,,0.19251,-0.60267,-0.000809,0.000883,1.133972,0.003349,0.056479,1.54647,110.87,0.15333,32.35,2155,870,0.7124,0.6764,3.715,4145.0
45,134971,,0.24642,-0.50451,0.005956,0.001624,1.071952,0.00529,0.072131,1.635427,113.333,0.15,32.06,1990,859,0.6985,0.6095,3.528,4233.9
46,138176,,0.22839,-0.54024,0.004311,0.001022,1.133209,0.005964,0.108534,1.735088,122.727,0.14667,32.49,2358,847,0.7357,0.6778,3.838,4332.6
47,140616,,0.15662,-0.68675,0.004068,0.001627,1.243937,0.000666,0.039453,1.548023,125.581,0.14333,32.34,1790,650,0.7336,0.6067,4.177,4408.0
48,144391,,0.19781,-0.60111,-0.001726,0.001121,1.114599,0.004418,0.043976,1.461537,121.429,0.14,32.49,2674,1101,0.7083,0.6922,3.525,4524.2
49,149573,,0.30432,-0.39135,-0.001101,0.000677,1.11937,0.00144,0.033883,1.632385,146.341,0.13667,32.32,3533,1649,0.6818,0.6908,3.608,4684.6
50,152585,0.7049999999999998,0.20805,-0.5794,-0.001744,0.000897,1.152053,0.003285,0.064645,1.513835,150.0,0.13333,32.18,2127,885,0.7062,0.6487,3.85,4796.8
51,155478,,0.1825,-0.63019,-0.004075,0.001418,1.198227,0.003258,0.071064,1.382789,176.923,0.13,31.83,2001,892,0.6917,0.5945,4.08,4887.7
52,157261,,0.21669,-0.56427,-0.002678,0.00207,1.114407,0.004262,0.02335,1.485035,126.316,0.12667,31.94,1236,547,0.6932,0.6581,3.592,4943.5
53,160512,,0.20856,-0.57835,-0.002257,0.000838,1.160163,0.002604,0.027597,1.393393,113.514,0.12333,32.44,2323,928,0.7145,0.662,3.807,5043.7
54,164059,,0.29645,-0.4071,-0.001052,0.000902,1.099977,0.005028,0.05504,1.627466,116.667,0.12,32.06,2461,1086,0.6938,0.6592,3.574,5154.4
55,167336,,0.25446,-0.48971,-0.001848,0.001125,1.144792,0.003421,0.03195,1.472448,145.714,0.11667,32.54,2372,905,0.7238,0.6698,3.738,5255.1
56,170628,,0.30016,-0.39968,-0.002611,0.000795,1.096144,0.005991,0.062352,1.489697,167.647,0.11333,32.16,2379,913,0.7227,0.6573,3.642,5357.5
57,174558,,0.2638,-0.46964,-0.003605,0.000798,1.068474,0.006432,0.064886,1.665348,127.273,0.11,32.19,2830,1100,0.7201,0.6774,3.61,5479.6
58,178037,,0.27509,-0.44981,-0.001594,0.000661,1.032795,0.005121,0.07011,2.078036,159.375,0.10667,31.66,2491,988,0.716,0.7158,3.548,5589.5
59,180864,,0.29954,-0.39353,-0.004889,0.001266,1.070097,0.005443,0.046227,1.552395,164.516,0.10333,31.62,2004,823,0.7089,0.6766,3.622,5678.9
